name,value,units,description
b.om,2.7,,given by Lett et al. 2000 (in CLM4.5)
b.sm,11.4,,exponent of soil hydraulic equatinos
BD,1200,kg m-3,bulk density; from site data
clay,0.59,unitless,fraction of clay
cp,1013,J kg-1 K-1,specific heat of air
Cv,,,
Cvsoil,1.93,MJ m-3 K-1,Heat capacity of soil
Cvwat,4.19,MJ m-3 K-1,Heat capacity of water
d_air,1.23,kg m-3,air density
K,,,
k.sat,1.28E-06,m s-1,Hydraulic conductivity at saturation; value taken from Bonan p. 120
Kdry,0.02,,
Ke,0.14,,
Ko,2,,
Kq,7.7,,
Ksol,910.07,,
Kwat,0.57,,
lambda,2450000,J kg-1,latent heat of vaporization
MWrat,0.62,,ratio molecular weight of water vapor/dry air
p_air,101.325,kPa,air pressure
PD,2650,kg m-3,particle density; from literature
psi.a,-10200,m,water potential of air
psi.fc,-3.4,m,soil water potential at field capacity
psi.n1,-3.4,m,subsoil water potential
psi.sat,-0.4,m,-40.5 cm H2O in Bonan book p. 120 converted to Pa
psi.ep,-0.4,m,-40.5 cm H2O in Bonan book p. 120 converted to Pa
q,3,,
ra,10,s m-1,aerodynamic resistance
SD,0.6,m,soil sampling depth/depth of soil layer [m]; from site data
Se,0.06,,
SOC,13.16,kg m-2,soil organic carbon; sum over layers from site data
Theta.sat,0.48,m3 m-3,Volumetric water content at saturation; value taken from Bonan p. 120 (soil defined as clay based on grain size of climate data)
theta.sat,0.48,,
epmod,1,,scales evapotranspiration
