Name;Value;Unit;Type;Description
b;11.4;unitless;soil temperature/moisture;exponent used in Campbell relationships
cp;1013;J kg-1;soil temperature/moisture;specific heat of air
lambda;2260000;J kg-1;soil temperature/moisture;latent heat of vaporization
MWrat;0.622;unitless;soil temperature/moisture;ration molecular weight of water vapor/dry air
Cvwat;4.19;MJ;soil temperature/moisture;Heat capacity of water
Cvsol;1.926;MJ;soil temperature/moisture;Representative value for Heat capacity of soil solids
Kdry;0.024033078;W m-1 k-1;soil temperature/moisture;Thermal conductivity of dry soil
Kwat;0.57;W m-1 k-1;soil temperature/moisture;Thermal conductivity of water
Kq;7.7;W m-1 k-1;soil temperature/moisture;Thermal conductivity of quartz
q;3;W m-1 k-1;soil temperature/moisture;Quartz Fraction
Ko;2;W m-1 k-1;soil temperature/moisture;Thermal conductivity of other minerals of soil
Ksol;910.066;W m-1 k-1;soil temperature/moisture;Thermal conductivity of soil
Ksat;2.600.946.608;W m-1 k-1;soil temperature/moisture;Thermal conductivity for saturated unfrozen soils
Se;0.06;Unitless;soil temperature/moisture;Relative soil Moisture
Ke;0.144705875;Unitless;soil temperature/moisture;Weighting factor dimensionless Kersten number
K;3.784.277.905;W m-1 K-1;soil temperature/moisture;Thermal conduyctivity of soil that varies between dry and saturated values
Cv;1984500;J m-3 k-1;soil temperature/moisture;Heat capacity of soil
theta.sat;0.482;m3 m-3;soil temperature/moisture;volumetric water content at saturation
psi.sat;0.405;m;soil temperature/moisture;matric potential at saturation
k.sat;1.28E-01;m s-1;soil temperature/moisture;hydraulic conductivity at saturation
BD;1200;kg m-3;soil temperature/moisture;bulk density
SOC;1.88;kg m-2;soil temperature/moisture;soil organic carbon
SD;0.6;m;soil temperature/moisture;soil depth
clay;0.5906;fraction;soil temperature/moisture;percentage of clay in the soil
PD;2650;kg m-3;soil temperature/moisture;particle density
B.om;2.7;unitless;soil temperature/moisture;organic matter in the soil
pair;1,225;kh m-3;soil temperature/moisture;air density
psi.a;100000000;Pa;soil temperature/moisture;potential of air
psi.fc;33000;Pa;soil temperature/moisture;soil water potential at field capacity
ra;10;s m-1;soil temperature/moisture;aerodynamic resistance
