DOY,hour,Tair,SWDR,PAR,diffPAR,Vpact,vhor,rain,avc,pressure,ST005,SM5_10
1,1,-7.48,0,0,0,0.313,3.03,0,390,973.21,2.66,39.36
1,2,-7.35,0,0,0,0.342,4.18,0,390,973.11,2.66,39.34
1,3,-6.8,0,0,0,0.37,5.25,0,390,973.06,2.66,39.33
1,4,-6.11,0,0,0,0.385,5.22,0,390,973.32,2.65,39.32
1,5,-5.6,0,0,0,0.404,4.54,0,390,973.64,2.65,39.31
1,6,-5.16,0,0,0,0.424,3.91,0,390,973.95,2.66,39.3
1,7,-4.68,0,0,0,0.433,4.4,0,390,974.27,2.65,39.3
1,8,-4.28,0,0.23,0.76,0.443,3.94,0,390,974.77,2.65,39.27
1,9,-3.88,8.03,22.14,2.6,0.443,4.06,0,390,975.43,2.65,39.26
1,10,-3.56,84.54,159.59,13.24,0.442,3.96,0,390,975.92,2.63,39.26
1,11,-3.29,147.59,272.52,14.91,0.466,4.7,0,390,976.34,2.63,39.25
1,12,-2.88,238.48,417.62,26.8,0.481,4.78,0,390,976.44,2.65,39.23
1,13,-2.41,256.51,480.58,27.57,0.487,4.53,0,390,976.29,2.64,39.23
1,14,-2.24,142.7,310.49,22.91,0.501,4.65,0,390,975.95,2.65,39.21
1,15,-2.13,99.24,207.88,15.14,0.497,5.18,0,390,975.78,2.65,39.2
1,16,-1.99,50.22,94.44,10.6,0.495,5.34,0,390,975.71,2.64,39.2
1,17,-2.1,8.51,12,1.52,0.489,5.58,0,390,975.4,2.63,39.2
1,18,-2.6,0,0,0,0.473,5.62,0,390,974.98,2.64,39.19
1,19,-2.87,0,0,0,0.464,5.76,0,390,974.88,2.66,39.19
1,20,-2.98,0,0,0,0.45,5.35,0,390,974.47,2.64,39.19
1,21,-3.16,0,0,0,0.433,6.12,0,390,973.98,2.65,39.19
1,22,-3.5,0,0,0,0.428,5.68,0,390,973.69,2.65,39.19
1,23,-3.83,0,0,0,0.416,5.46,0,390,973.56,2.64,39.19
1,24,-4.11,0,0,0,0.411,5.69,0,390,973.16,2.65,39.19
2,1,-4.5,0,0,0,0.399,5.68,0,390,972.8,2.64,39.19
2,2,-5.07,0,0,0,0.398,4.89,0,390,972.37,2.65,39.19
2,3,-5.43,0,0,0,0.393,5.32,0,390,972.63,2.65,39.19
2,4,-5.15,0,0,0,0.392,6.04,0,390,972.29,2.63,39.19
2,5,-4.54,0,0,0,0.403,6.71,0,390,971.56,2.65,39.19
2,6,-4.31,0,0,0,0.415,6.42,0,390,971.09,2.64,39.2
2,7,-4.48,0,0,0,0.43,5.98,0,390,971.09,2.63,39.19
2,8,-4.36,0,0.18,0.76,0.441,5.66,0,390,971.45,2.64,39.2
2,9,-4.22,6.32,18.08,1.52,0.462,5.56,0,390,971.68,2.64,39.19
2,10,-3.92,50.38,108.64,10.9,0.452,5.54,0,390,971.86,2.63,39.19
2,11,-3.42,85.46,191.36,16.64,0.47,5.65,0,390,972.08,2.63,39.2
2,12,-3.07,97.97,222.96,18.56,0.505,5.15,0,390,972.56,2.63,39.21
2,13,-2.88,103.43,237.8,15.2,0.517,5.35,0,390,972.54,2.63,39.2
2,14,-2.65,82.82,187.88,13.53,0.525,4.96,0,390,972.68,2.62,39.2
2,15,-2.25,98.32,179.94,13.41,0.532,4.3,0,390,972.95,2.62,39.21
2,16,-1.75,66.76,112.34,2.24,0.528,3.7,0,390,973.63,2.62,39.2
2,17,-1.36,2.92,10.38,1.52,0.519,3.26,0,390,974.43,2.63,39.2
2,18,-1.12,0,1.04,1.52,0.515,3.54,0,390,975.03,2.62,39.21
2,19,-1.46,0,1.04,1.52,0.491,2.96,0,390,975.6,2.62,39.21
2,20,-1.86,0,0,0,0.407,3.76,0,390,976.21,2.62,39.2
2,21,-2.86,0,0,0,0.378,3.36,0,390,976.88,2.61,39.2
2,22,-4.2,0,0.86,1.52,0.369,2.95,0,390,977.4,2.62,39.2
2,23,-5.19,0,1.04,1.52,0.366,2.69,0,390,977.85,2.62,39.22
2,24,-5.66,0,0.18,0.76,0.365,3.04,0,390,978.18,2.63,39.21
3,1,-5.81,0,0,0,0.347,3.06,0,390,978.53,2.62,39.22
3,2,-6.28,0,0.52,1.52,0.325,3,0,390,979.2,2.61,39.23
3,3,-7.16,0,1.04,1.52,0.306,2.88,0,390,979.58,2.62,39.22
3,4,-7.71,0,1.04,1.52,0.291,2.87,0,390,979.68,2.61,39.23
3,5,-8.3,0,1.04,1.52,0.3,2.84,0,390,979.76,2.62,39.23
3,6,-8.48,0,1.04,1.52,0.307,3.16,0,390,979.68,2.62,39.23
3,7,-8.08,0,1.04,1.52,0.325,3.02,0,390,979.87,2.61,39.23
3,8,-8.12,0,1.27,1.52,0.314,2.96,0,390,980.27,2.61,39.23
3,9,-8.7,12.92,27.24,4.44,0.304,3.04,0,390,980.74,2.62,39.23
3,10,-8.73,157.62,166.72,11.38,0.315,3.44,0,390,981.2,2.61,39.23
3,11,-8.75,242.12,312.58,31.16,0.314,3.14,0,390,981.53,2.62,39.23
3,12,-8.35,337.36,448.74,74.84,0.315,3.4,0,390,980.89,2.61,39.24
3,13,-8.3,401.68,467.82,62.3,0.307,3.62,0,390,980.63,2.61,39.24
3,14,-8.82,406.89,424.57,38.69,0.303,3.58,0,390,980.21,2.6,39.24
3,15,-8.92,279.08,285.39,25.78,0.303,3.4,0,390,980.25,2.6,39.24
3,16,-8.94,118.6,122.9,13.12,0.297,3.2,0,390,980.39,2.62,39.24
3,17,-9.36,5.72,13.39,1.52,0.288,3.33,0,390,980.64,2.62,39.23
3,18,-9.6,0,1.04,1.52,0.276,2.98,0,390,980.92,2.61,39.22
3,19,-9.64,0,1.04,1.52,0.267,3.1,0,390,981.01,2.61,39.22
3,20,-9.98,0,1.04,1.52,0.264,3.21,0,390,980.9,2.61,39.23
3,21,-10.68,0,1.04,1.52,0.249,2.78,0,390,980.9,2.61,39.21
3,22,-11.19,0,1.04,1.52,0.244,2.73,0,390,980.78,2.61,39.22
3,23,-11.56,0,1.04,1.52,0.234,2.54,0,390,980.58,2.61,39.21
3,24,-11.98,0,1.04,1.52,0.223,2.7,0,390,980.33,2.61,39.21
4,1,-12.66,0,1.04,1.52,0.214,2.76,0,390,979.96,2.6,39.2
4,2,-13.52,0,1.04,1.52,0.204,2.74,0,390,979.68,2.6,39.18
4,3,-13.23,0,0.86,1.52,0.2,2.77,0,390,979.53,2.6,39.18
4,4,-12.08,0,1.04,1.52,0.201,2.63,0,390,979.43,2.6,39.18
4,5,-12.38,0,0.34,0.76,0.19,2.76,0,390,979.24,2.6,39.17
4,6,-12.5,0,0,0,0.183,2.62,0,390,979.28,2.59,39.18
4,7,-12.85,0,0,0,0.178,2.58,0,390,979.33,2.6,39.16
4,8,-12.07,0,0.4,0.76,0.171,2.56,0,390,979.39,2.6,39.15
4,9,-12.65,31.11,25.8,2.95,0.172,2.64,0,390,979.49,2.59,39.15
4,10,-9.17,176.06,139.36,9.22,0.179,2.59,0,390,979.81,2.59,39.13
4,11,-7.77,267.9,283.83,68.22,0.21,2.55,0,390,979.81,2.6,39.12
4,12,-6.96,309.65,402.08,106.04,0.213,2.68,0.3,390,979.57,2.59,39.11
4,13,-5.64,329.55,432.28,99.12,0.225,2.83,1.2,390,979.3,2.6,39.1
4,14,-4.89,363.24,400.75,23.86,0.227,2.84,0.8,390,978.94,2.6,39.08
4,15,-6.39,342.98,294.08,14.79,0.226,2.78,0,390,979.2,2.61,39.06
4,16,-7.04,153.65,122.78,7.07,0.23,2.95,0,390,979.37,2.6,39.04
4,17,-7.62,7.72,12.64,1.52,0.234,2.89,0,390,979.16,2.6,39.03
4,18,-7.48,0,0,0,0.22,2.92,0,390,979.5,2.61,39.03
4,19,-6.94,0,0,0,0.214,2.9,0,390,979.5,2.6,39.01
4,20,-5.66,0,0.52,0.76,0.207,2.58,0,390,979.68,2.59,39
4,21,-5.64,0,1.04,1.52,0.201,2.75,0,390,979.7,2.59,39
4,22,-5.12,0,1.04,1.52,0.201,2.8,0,390,979.74,2.59,38.99
4,23,-5.11,0,0,0,0.191,2.73,0,390,979.8,2.6,38.96
4,24,-5.8,0,0,0,0.189,2.72,0,390,979.87,2.59,38.96
5,1,-5.6,0,0,0,0.178,2.7,0,390,979.58,2.58,38.95
5,2,-6.34,0,0,0,0.176,2.7,0,390,979.44,2.59,38.94
5,3,-7.17,0,0,0,0.181,2.68,0,390,979.45,2.59,38.93
5,4,-7.94,0,0,0,0.179,2.64,0,390,979.65,2.59,38.92
5,5,-6.98,0,0,0,0.172,2.68,0,390,979.82,2.59,38.92
5,6,-6.61,0,0,0,0.178,2.75,0,390,979.52,2.58,38.9
5,7,-6.57,0,0,0,0.176,2.8,0,390,979.53,2.58,38.9
5,8,-6.92,0,0.4,0.76,0.17,2.62,0,390,979.75,2.58,38.89
5,9,-5.52,28.54,25.8,3.14,0.175,2.88,0,390,980.04,2.58,38.89
5,10,-2.87,178.35,171.02,12.82,0.17,2.74,0,390,979.94,2.57,38.88
5,11,-1.09,274.92,343.24,85.2,0.203,2.56,0,390,979.9,2.56,38.87
5,12,-1.44,306.57,434.48,106.71,0.22,2.63,0,390,979.65,2.56,38.86
5,13,-1.62,368.5,515.07,103.53,0.229,2.6,0.4,390,979.36,2.56,38.85
5,14,-1.53,406.66,431.59,29.48,0.244,2.59,0.3,390,978.98,2.56,38.86
5,15,-1.78,322.8,311.88,19.62,0.251,2.55,0,390,978.96,2.55,38.84
5,16,-2.26,141.84,121.28,6.9,0.257,2.47,0,390,978.93,2.55,38.84
5,17,-3.46,8.48,12.52,1.52,0.257,2.6,0,390,979.17,2.55,38.83
5,18,-3.78,0,0,0,0.256,2.68,0,390,979.29,2.55,38.83
5,19,-3.86,0,0,0,0.24,2.64,0,390,978.94,2.53,38.82
5,20,-2.56,0,0.86,1.52,0.238,2.56,0,390,978.71,2.55,38.82
5,21,-2.08,0,1.04,1.52,0.221,2.89,0,390,978.47,2.55,38.81
5,22,-2.66,0,1.04,1.52,0.226,2.7,0,390,978.56,2.53,38.8
5,23,-2.08,0,1.04,1.52,0.213,3.04,0,390,978.56,2.53,38.8
5,24,-3.49,0,0.7,1.52,0.197,2.84,0,390,978.51,2.53,38.8
6,1,-4.35,0,1.04,1.52,0.205,2.77,0,390,978.48,2.54,38.79
6,2,-4.87,0,1.04,1.52,0.19,2.88,0,390,978.17,2.54,38.79
6,3,-5.72,0,0.18,0.76,0.197,2.78,0,390,978.25,2.53,38.79
6,4,-6.22,0,0,0,0.193,2.95,0,390,977.95,2.54,38.77
6,5,-5.82,0,0,0,0.199,2.94,0,390,977.29,2.52,38.77
6,6,-5.16,0,0,0,0.218,2.98,0,390,977.15,2.53,38.77
6,7,-5.34,0,0,0,0.243,2.8,0,390,977.29,2.52,38.76
6,8,-6.04,0,0.81,1.52,0.267,2.85,0,390,976.9,2.53,38.76
6,9,-5.58,26.76,30.96,4.03,0.268,2.68,0,390,976.58,2.52,38.76
6,10,-4.84,73.04,135.6,21.54,0.301,3.34,0,390,976.83,2.53,38.75
6,11,-5.11,115.05,259.02,39.95,0.351,3.51,0,390,976.5,2.53,38.75
6,12,-4.89,77.9,211.01,34.75,0.355,2.93,0,390,975.35,2.51,38.75
6,13,-4.4,60.6,167.42,30.56,0.415,3.7,0,390,974.81,2.51,38.74
6,14,-3.96,45.78,127.36,40.18,0.426,3.62,0,390,974.16,2.5,38.75
6,15,-4.01,19.74,55.19,15.2,0.441,3.6,0,390,973.69,2.5,38.74
6,16,-3.62,11.58,31.42,6.48,0.46,3.96,0,390,973.67,2.5,38.74
6,17,-4,0.44,4.12,1.52,0.475,4.03,0,390,973.59,2.51,38.74
6,18,-4,0,1.04,1.52,0.501,3.97,0,390,973.44,2.5,38.72
6,19,-4.1,0,1.04,1.52,0.525,4.3,0,390,972.9,2.5,38.71
6,20,-3.99,0,0.86,1.52,0.506,4.12,0,390,972.92,2.5,38.71
6,21,-2.54,0,0.86,1.52,0.517,4.04,0,390,973.26,2.5,38.7
6,22,-2.46,0,0.7,1.52,0.531,4.06,0,390,973.57,2.5,38.7
6,23,-2.18,0,1.04,1.52,0.543,4.16,0,390,973.64,2.49,38.7
6,24,-1.58,0,1.04,1.52,0.569,3.97,0,390,973.48,2.49,38.69
7,1,-2.04,0,0.86,1.52,0.561,4.27,0,390,973.17,2.5,38.7
7,2,-2.13,0,0.86,1.52,0.553,3.92,0,390,973.1,2.49,38.69
7,3,-1.12,0,0.86,1.52,0.545,3.94,0,390,973.17,2.48,38.68
7,4,-0.76,0,0.52,1.52,0.563,4.04,0,390,973.26,2.48,38.69
7,5,-0.84,0,0,0,0.573,3.86,0,390,973.23,2.48,38.68
7,6,-1.66,0,0.69,1.52,0.581,3.76,0,390,973.23,2.48,38.68
7,7,-1.48,0,0.7,1.52,0.58,3.76,0,390,973.41,2.48,38.68
7,8,-1.57,0,0.7,1.52,0.574,3.64,0,390,973.93,2.49,38.68
7,9,-0.98,4.44,14.09,4.5,0.58,3.44,0,390,973.99,2.49,38.68
7,10,-0.57,22.48,56,21.01,0.582,3.51,0,390,974.11,2.48,38.68
7,11,-0.12,51.18,124.06,33.43,0.582,3.32,0,390,974.41,2.48,38.68
7,12,0.28,58.1,141.44,47.3,0.586,3.28,0.1,390,974.37,2.48,38.68
7,13,0.03,58.22,141.85,61.64,0.586,3.26,0.4,390,974.34,2.48,38.67
7,14,-0.29,45.4,111.53,43.53,0.589,2.96,0.5,390,974.22,2.49,38.67
7,15,-0.19,33.58,82.5,27.76,0.583,2.64,0.3,390,974.4,2.49,38.68
7,16,-0.16,11.36,29.04,12.76,0.583,2.64,0.2,390,974.61,2.48,38.67
7,17,-0.22,1.36,5.56,1.52,0.589,2.74,0.2,390,974.68,2.48,38.67
7,18,-0.26,0,0.86,1.52,0.585,2.5,0,390,974.78,2.48,38.68
7,19,-0.29,0,0.52,0.76,0.576,2.8,0.1,390,974.8,2.48,38.69
7,20,-0.4,0,0,0,0.572,2.52,0,390,974.8,2.48,38.7
7,21,-0.4,0,0,0,0.57,2.67,0,390,975.1,2.48,38.7
7,22,-0.39,0,0,0,0.569,2.64,0,390,975.09,2.49,38.71
7,23,-0.42,0,0,0,0.565,2.64,0,390,974.9,2.48,38.71
7,24,-0.51,0,0,0,0.563,2.77,0,390,974.84,2.48,38.72
8,1,-0.61,0,0,0,0.565,3.02,0,390,974.85,2.48,38.73
8,2,-0.8,0,0,0,0.567,2.8,0,390,974.72,2.49,38.74
8,3,-0.88,0,0,0,0.558,2.79,0.1,390,974.67,2.47,38.77
8,4,-0.96,0,0,0,0.559,2.84,0,390,974.94,2.49,38.8
8,5,-1.02,0,0,0,0.557,2.72,0,390,975.02,2.49,38.84
8,6,-1.09,0,0,0,0.556,2.66,0,390,975.29,2.48,38.87
8,7,-1.18,0,0,0,0.555,2.7,0,390,975.45,2.48,38.89
8,8,-1.17,0,0,0,0.555,2.61,0,390,975.81,2.48,38.92
8,9,-1.2,3.18,8.58,3.31,0.557,2.67,0,390,976.38,2.48,38.93
8,10,-1.19,24.92,56.92,17.77,0.559,2.52,0,390,976.72,2.48,38.96
8,11,-1.21,37.59,88.81,38.34,0.562,2.58,0,390,977.08,2.48,38.97
8,12,-0.74,49.14,115.42,75.51,0.569,2.62,0,390,976.94,2.47,38.99
8,13,-0.68,59.94,142.08,81,0.579,2.55,0,390,977.04,2.48,39.01
8,14,-1.06,65.84,153.79,61.82,0.571,3,0.2,390,976.87,2.48,39.03
8,15,-1.52,53.36,123.65,49.74,0.567,2.87,0.1,390,976.94,2.48,39.04
8,16,-2.04,18.26,44.17,25.49,0.558,2.8,0,390,977.3,2.49,39.05
8,17,-2.17,2.06,6.5,3.79,0.543,2.82,0,390,977.54,2.48,39.05
8,18,-2.28,0,0,0,0.542,2.63,0,390,978.05,2.47,39.08
8,19,-2.5,0,0,0,0.54,2.76,0,390,978.14,2.49,39.1
