DOY,hour,DateTime,Rn [W/m2],H [W/m2],LE [W/m2],NEE [umol/m2s],GPP [umol/m2s],RE [umol/m2s]
1,1,1.021,-9999,-9999,-9999,1.18,0,1.18
1,2,1.062,-9999,-9999,-9999,1.18,0,1.18
1,3,1.104,-9999,-9999,-9999,1.18,0,1.18
1,4,1.146,-9999,-9999,-9999,1.18,0,1.18
1,5,1.188,-9999,-9999,-9999,1.18,0,1.18
1,6,1.229,-9999,-9999,-9999,1.18,0,1.18
1,7,1.271,-9999,-9999,-9999,1.18,0,1.18
1,8,1.312,-9999,-9999,-9999,1.18,0,1.18
1,9,1.354,-9999,-9999,-9999,1.18,0,1.18
1,10,1.396,-9999,-9999,-9999,1.18,0,1.18
1,11,1.438,-9999,-9999,-9999,1.18,0,1.18
1,12,1.479,-9999,-9999,-9999,1.18,0,1.18
1,13,1.521,-9999,-9999,-9999,1.18,0,1.18
1,14,1.562,-9999,-9999,-9999,1.18,0,1.18
1,15,1.604,-9999,-9999,-9999,1.18,0,1.18
1,16,1.646,-9999,-9999,-9999,1.18,0,1.18
1,17,1.688,-9999,-9999,-9999,1.18,0,1.18
1,18,1.729,-9999,-9999,-9999,1.18,0,1.18
1,19,1.771,-9999,-9999,-9999,1.18,0,1.18
1,20,1.812,-9999,-9999,-9999,1.18,0,1.18
1,21,1.854,-9999,-9999,-9999,1.18,0,1.18
1,22,1.896,-9999,-9999,-9999,1.18,0,1.18
1,23,1.938,-9999,-9999,-9999,1.18,0,1.18
1,24,1.979,-9999,-9999,-9999,1.18,0,1.18
2,1,2.021,-9999,-9999,-9999,1.18,0,1.18
2,2,2.062,-9999,-9999,-9999,1.18,0,1.18
2,3,2.104,-9999,-9999,-9999,1.18,0,1.18
2,4,2.146,-9999,-9999,-9999,1.18,0,1.18
2,5,2.188,-9999,-9999,-9999,1.18,0,1.18
2,6,2.229,-9999,-9999,-9999,1.18,0,1.18
2,7,2.271,-9999,-9999,-9999,1.18,0,1.18
2,8,2.312,-9999,-9999,-9999,1.18,0,1.18
2,9,2.354,-9999,-9999,-9999,1.18,0,1.18
2,10,2.396,-9999,-9999,-9999,1.18,0,1.18
