"Date.Time","SW_OUT","LW_OUT","TS_F_MDS_1","TS_F_MDS_2","TS_F_MDS_3","TS_F_MDS_4","TS_F_MDS_5","SWC_F_MDS_1","SWC_F_MDS_2","SWC_F_MDS_3","G_F_MDS","LE_F_MDS","H_F_MDS","NIGHT","NEE_VUT_REF","RECO_NT_VUT_REF","GPP_NT_VUT_REF"
2018-07-01 01:00:00,1.782,NA,13.5625,13.53,13.79,12.715,11.95,21.782,18.815,32.125,-3.9,6.183745,-61.32605,1,2.506985,2.00094,-0.506045
2018-07-01 02:00:00,1.3663315,NA,13.345,13.375,13.72,12.72,11.95,21.769,18.81,32.115,-3.7925,0.5809,-52.87575,1,1.58176,1.985015,0.0722025
2018-07-01 03:00:00,1.782,NA,13.155,13.225,13.645,12.715,11.9575,21.754,18.8,32.105,-4.03,1.98372,-35.59865,1,2.459785,1.951605,-0.6182325
2018-07-01 04:00:00,4.51433,NA,12.9325,13.065,13.5625,12.7075,11.96,21.7445,18.79,32.09,-4.3375,3.096765,-42.2298,1,1.813065,1.90821,-0.3333855
2018-07-01 05:00:00,14.673515,NA,12.7,12.885,13.4775,12.7025,11.965,21.728,18.78,32.08,-5.25875,0.3374,-34.74005,0,1.3728495,1.895115,0.5088505
2018-07-01 06:00:00,43.125,NA,12.505,12.725,13.385,12.695,11.965,21.714,18.77,32.06,-6.34,19.7022,16.389,0,-6.38672,1.903545,8.290265
2018-07-01 07:00:00,64.51,NA,12.405,12.61,13.2975,12.675,11.97,21.699,18.76,32.05,-4.41125,38.58105,85.1076,0,-7.83264,1.93522,9.767875
2018-07-01 08:00:00,81.3983,NA,12.4425,12.555,13.225,12.6575,11.975,21.679,18.75,32.045,-4.03125,67.7621,177.519,0,-11.23405,1.97039,13.20445
2018-07-01 09:00:00,98.96685,NA,12.54,12.565,13.1675,12.635,11.9775,21.664,18.735,32.03,-3.0025,92.493,232.46,0,-11.2037,2.00942,13.21315
2018-07-01 10:00:00,111.9665,NA,12.7125,12.63,13.1275,12.6125,11.98,21.651,18.73,32.02,-1.6575,95.9494,288.885,0,-11.299225,2.038215,13.3374
2018-07-01 11:00:00,121.183,NA,12.89,12.71,13.11,12.585,11.98,21.6395,18.725,32.01,-0.6775,91.59415,306.037,0,-10.89005,2.069575,12.95965
2018-07-01 12:00:00,131.3335,NA,13.0775,12.805,13.11,12.56,11.98,21.629,18.72,32,0.02375,121.80675,332.5575,0,-11.41566,2.102035,13.5177
2018-07-01 13:00:00,136.3835,NA,13.3225,12.925,13.1225,12.535,11.985,21.615,18.72,31.985,1.69875,104.3992,340.7265,0,-9.690485,2.128895,11.81935
2018-07-01 14:00:00,129.3835,NA,13.5825,13.065,13.15,12.5,11.9825,21.6105,18.71,31.975,3.26625,117.4165,355.471,0,-9.03609,2.154625,11.19075
2018-07-01 15:00:00,118.733,NA,13.785,13.285,13.1875,12.485,11.985,21.601,18.71,31.96,2.50625,89.8248,337.482,0,-8.96006,2.164915,11.125
2018-07-01 16:00:00,106.567,NA,13.855,13.415,13.23,12.4625,11.985,21.5915,18.71,31.945,1.63375,74.7451,201.7145,0,-7.486055,2.169565,9.65564
2018-07-01 17:00:00,86.05665,NA,13.925,13.44,13.2725,12.4475,11.98,21.581,18.7,31.93,2.0775,67.14635,163.7535,0,-6.337305,2.176455,8.51376
2018-07-01 18:00:00,66.935,NA,13.9325,13.465,13.3075,12.44,11.98,21.5715,18.7,31.92,3.02625,51.971,101.4615,0,-4.392615,2.17611,6.568725
2018-07-01 19:00:00,46.445,NA,13.905,13.455,13.33,12.43,11.98,21.559,18.695,31.905,2.90125,33.1083,35.422,0,-3.17583,2.167085,5.342915
2018-07-01 20:00:00,27.02335,NA,13.85,13.43,13.3425,12.425,11.975,21.555,18.69,31.895,2.145,6.05045,-15.9698,0,-0.969508,2.148235,3.11774
2018-07-01 21:00:00,8.257,NA,13.7675,13.385,13.3475,12.42,11.975,21.55,18.69,31.885,1.155,6.72274,-42.8934,0.5,1.47658,2.10814,0.631557
2018-07-01 22:00:00,4.632835,NA,13.5825,13.305,13.3425,12.42,11.975,21.546,18.69,31.875,-1.96375,4.236195,-56.16155,1,1.568075,2.064275,0.4962035
2018-07-01 23:00:00,2.969835,NA,13.3525,13.185,13.32,12.42,11.9725,21.545,18.685,31.855,-2.615,2.220056,-42.18535,1,1.918185,2.041945,0.114857
2018-07-02 00:00:00,2.435165,NA,13.13,13.05,13.2825,12.415,11.97,21.5325,18.68,31.845,-3.20125,1.3060645,-27.58065,1,1.83395,2.014845,0.1660215
2018-07-02 01:00:00,1.24717,NA,12.925,12.91,13.2325,12.415,11.9675,21.52,18.675,31.835,-3.43,-1.37392,-8.321315,1,2.106305,1.97152,-0.166517
2018-07-02 02:00:00,2.851,NA,12.6675,12.745,13.1725,12.42,11.9675,21.5115,18.67,31.82,-3.89125,3.8925,-26.6856,1,2.21865,1.95579,-0.305444
2018-07-02 03:00:00,5.108335,NA,12.46,12.595,13.1025,12.41,11.9625,21.5,18.66,31.81,-4.30875,2.11617,-7.412925,1,2.48277,1.925,-0.652473
2018-07-02 04:00:00,3.860835,NA,12.2425,12.435,13.0325,12.4075,11.965,21.4865,18.65,31.8,-5.5625,2.48666,-36.859,1,2.43719,1.915565,-0.642858
2018-07-02 05:00:00,13.127985,NA,12.0375,12.275,12.95,12.4025,11.96,21.4725,18.645,31.785,-5.78875,2.33407,-14.9084,0,2.47472,1.921635,-0.6137015
2018-07-02 06:00:00,40.9267,NA,11.9175,12.15,12.87,12.39,11.955,21.4595,18.635,31.77,-4.5925,6.199465,8.509835,0,-5.07168,1.91836,6.99004
2018-07-02 07:00:00,56.13665,NA,11.875,12.075,12.7975,12.38,11.955,21.444,18.625,31.76,-3.8925,33.0631,95.46435,0,-11.4714,1.95258,13.424
2018-07-02 08:00:00,74.49665,NA,11.95,12.055,12.7375,12.36,11.955,21.4285,18.615,31.755,-3.82625,52.46875,135.3365,0,-14.70275,1.96638,16.66915
2018-07-02 09:00:00,90.2833,NA,12.125,12.1,12.6975,12.335,11.95,21.4185,18.605,31.74,-2.755,80.0922,172.96,0,-14.6908,2.00919,16.7
2018-07-02 10:00:00,107,NA,12.395,12.215,12.68,12.31,11.95,21.4085,18.6,31.735,0.75125,93.7794,279.817,0,-14.1778,2.04824,16.22605
2018-07-02 11:00:00,117.6665,NA,12.7175,12.375,12.69,12.285,11.95,21.401,18.6,31.725,2.21125,132.6405,271.809,0,-12.59845,2.090165,14.68865
2018-07-02 12:00:00,130.15,NA,12.995,12.55,12.72,12.26,11.94,21.394,18.6,31.715,2.365,125.2845,318.932,0,-12.8576,2.115125,14.97275
2018-07-02 13:00:00,134.117,NA,13.28,12.725,12.7675,12.2375,11.94,21.3885,18.6,31.7,3.70125,123.27085,316.9,0,-12.0491,2.136895,14.186
2018-07-02 14:00:00,125.033,NA,13.58,12.915,12.825,12.21,11.9375,21.386,18.59,31.69,4.09875,129.9395,326.705,0,-11.5469,2.155625,13.7025
2018-07-02 15:00:00,115.2165,NA,13.86,13.19,12.895,12.195,11.935,21.3815,18.59,31.675,4.065,118.0084,330.058,0,-10.50125,2.17309,12.67435
2018-07-02 16:00:00,102.40015,NA,13.9675,13.365,12.9725,12.18,11.9325,21.374,18.59,31.655,4.3775,102.4413,205.032,0,-8.08172,2.189655,10.271365
2018-07-02 17:00:00,86.77835,NA,14.065,13.43,13.045,12.1725,11.925,21.367,18.585,31.65,4.51,69.59435,174.6155,0,-7.760685,2.198045,10.45134
2018-07-02 18:00:00,66.4017,NA,14.1125,13.495,13.105,12.165,11.925,21.359,18.58,31.635,3.99125,57.83595,89.0085,0,-5.95337,2.201565,8.672075
2018-07-02 19:00:00,45.37335,NA,14.095,13.505,13.155,12.165,11.9175,21.351,18.58,31.62,3.6275,39.54615,24.4347,0,-3.752665,2.191795,5.94446
2018-07-02 20:00:00,25.59665,NA,14.0575,13.505,13.19,12.17,11.91,21.3465,18.58,31.61,2.68875,14.6425,-16.66914,0,-1.996955,2.17381,4.170765
2018-07-02 21:00:00,7.66265,NA,13.925,13.46,13.215,12.175,11.91,21.3415,18.58,31.605,0.7525,7.2613,-40.22285,0.5,2.229235,2.13292,-0.096312222
2018-07-02 22:00:00,3.266335,NA,13.66,13.35,13.2175,12.1825,11.905,21.337,18.58,31.595,-0.79125,0.469865,-51.6888,1,1.75682,2.105925,0.3491035
2018-07-02 23:00:00,3.8605,NA,13.43,13.22,13.21,12.1925,11.9,21.332,18.58,31.58,-2.3925,3.78085,-36.46515,1,1.459055,2.0938,0.634741
2018-07-03 00:00:00,5.345335,NA,13.28,13.115,13.1825,12.2025,11.8975,21.324,18.58,31.575,-2.21,0.0331999999999999,1.076195,1,1.446975,2.059885,0.6129125
2018-07-03 01:00:00,5.10783,NA,13.0725,12.995,13.145,12.2125,11.8925,21.3135,18.575,31.565,-2.30875,0.0260549999999999,-1.50187,1,1.41271,2.069475,0.6567675
