"Date.Time","TA_F","SW_IN_F","LW_IN_F","PPFD_IN","VPD_F","PA_F","P_F","WS_F","RH","SW_DIF","CO2_F_MDS","NIGHT"
2018-07-01 01:00:00,12.767,0,278.19,0.7016685,7.258,96.3,0,3.7725,50.82,1.146835,403.3185,1
2018-07-01 02:00:00,12.35,0,276.8215,-0.433333,6.813,96.3,0,3.3005,52.56,1.131,403.606,1
2018-07-01 03:00:00,11.448,0,273.477,0.3016665,5.882,96.3,0,2.4895,56.58,1.29,406.3415,1
2018-07-01 04:00:00,10.283,0,268.62,-0.5,4.7395,96.3,0,2.5235,62.15,1.29483,408.2505,1
2018-07-01 05:00:00,9.957,14.995,266.9215,31.99835,4.4545,96.3,0,2.93,63.63665,7.064815,407.1385,0
2018-07-01 06:00:00,10.217,108.095,263.8615,198.2635,4.5975,96.3,0,2.693,63.115,22.71835,404.8,0
2018-07-01 07:00:00,11.12,264.027,267.785,482.5015,5.374,96.4,0,3.0425,59.42665,35.15165,402.6455,0
2018-07-01 08:00:00,12.135,429.4935,272.74,790.282,6.279,96.4,0,3.147,55.65335,51.1967,400.2705,0
2018-07-01 09:00:00,13.28,582.713,280.3615,1102.775,7.439,96.4,0,3.9405,51.27665,58.25665,398.06,0
2018-07-01 10:00:00,14.1485,716.825,284.8285,1395.625,8.795,96.4,0,5.1115,45.56,71.10665,396.886,0
2018-07-01 11:00:00,15.107,820.9235,291.6665,1632.365,10.103,96.4,0,5.6345,41.21,78.41165,395.427,0
2018-07-01 12:00:00,16.115,893.3615,297.655,1789.915,11.473,96.4,0,4.5165,37.405,75.19835,395.5025,0
2018-07-01 13:00:00,16.97,922.0785,301.1535,1851.04,12.7695,96.4,0,4.5125,34.035,71.9283,396.041,0
2018-07-01 14:00:00,17.8015,903.6065,303.443,1798.6,14.271,96.3,0,4.5595,30.01335,72.4733,396.2855,0
2018-07-01 15:00:00,18.162,839.105,302.37,1638.61,14.9375,96.3,0,4.5925,28.38165,75.2033,396.53,0
2018-07-01 16:00:00,18.348,730.32,302.487,1387.875,15.119,96.3,0,4.2185,28.355,80.2033,396.2515,0
2018-07-01 17:00:00,18.605,582.9135,300.812,1067.37,15.244,96.2835,0,3.9135,28.91165,85.09,395.6505,0
