Date.Time,SW_OUT,LW_OUT,TS_F_MDS_1,TS_F_MDS_2,TS_F_MDS_3,TS_F_MDS_4,TS_F_MDS_5,SWC_F_MDS_1,SWC_F_MDS_2,SWC_F_MDS_3,G_F_MDS,LE_F_MDS,H_F_MDS,NIGHT,NEE_VUT_REF,RECO_NT_VUT_REF,GPP_NT_VUT_REF
01/01/2018 00:30:00,0,NA,5.31,5.03,4.64,3.87,4.425,45.94,35.94,45.48,3.99,0.266814,-69.2821,1,-1.95436,0.989091,2.94345
01/01/2018 01:00:00,2.138,NA,5.3,5.02,4.655,3.865,4.43,45.925,35.94,45.48,3.8575,0.266814,-69.2821,1,-1.95436,0.984947,2.93931
01/01/2018 01:30:00,2.85067,NA,5.305,5.01,4.66,3.865,4.43,45.885,35.88,45.48,3.4625,0.266814,-69.2821,1,-1.95436,0.974963,2.92932
01/01/2018 02:00:00,3.20667,NA,5.34,5.01,4.67,3.9,4.43,45.877,35.88,45.4,3.33,0.238901,-67.9775,1,-1.95436,0.983958,2.93832
01/01/2018 02:30:00,2.37567,NA,5.38,5.01,4.68,3.91,4.44,45.877,35.88,45.4,3.99,0.266814,-69.2821,1,-1.95436,0.978883,2.93324
01/01/2018 03:00:00,0.950333,NA,5.41,5.03,4.685,3.925,4.44,45.843,35.83,45.4,3.8575,0.238901,-67.9775,1,-1.95436,0.963892,2.91825
01/01/2018 03:30:00,0.356333,NA,5.425,5.04,4.695,3.935,4.445,45.843,35.81,45.4,3.925,0.258072,-72.4627,1,-2.3509,0.950834,3.30173
01/01/2018 04:00:00,2.138,NA,5.425,5.05,4.705,3.955,4.45,45.972,35.81,45.4,3.925,0.472928,-75.1993,1,-2.3509,0.94711,3.29801
01/01/2018 04:30:00,1.18767,NA,5.43,5.05,4.715,3.96,4.455,46.362,35.88,45.4,4.3375,0.472928,-75.1993,1,-2.3509,0.946091,3.29699
01/01/2018 05:00:00,0.475,NA,5.385,5.05,4.725,3.975,4.46,46.5,36.01,45.4,3.5275,0.147875,-47.9782,1,-1.16883,0.929483,2.09831
