Date.Time,TA_F,SW_IN_F,LW_IN_F,PPFD_IN,VPD_F,PA_F,P_F,WS_F,RH,SW_DIF,CO2_F_MDS,NIGHT
01/01/2018 00:30:00,9.263,0,296.513,1.0688,3.682,94.3,0,6.235,68.5,1.01533,430.553,1
01/01/2018 01:00:00,9.053,0,327.573,-1.4028,3.417,94.3,0,6.277,70.3533,1.83933,430.763,1
01/01/2018 01:30:00,8.55,0,344.69,-2.0708,2.534,94.3,0.1,6.319,77.2533,1.16833,431.608,1
01/01/2018 02:00:00,9.003,2.567,345.957,2.0708,2.992,94.3,0.1,6.406,73.9567,1.30667,430.85,1
01/01/2018 02:30:00,8.747,1.243,341.397,1.2024,2.655,94.3,0.1,6.492,76.48,1.26033,431.491,1
01/01/2018 03:00:00,7.997,2.02,343.287,0.4008,1.628,94.367,0.9,6.578,84.8233,1.772,482.172,1
01/01/2018 03:30:00,7.351,1.59,338.66,0.0668,0.524,94.4,0.3,6.664,94.9,1.013,482.6,1
01/01/2018 04:00:00,7.168,1.73,330.327,2.2712,0.433,94.4,0.3,6.75,95.7333,1.13,482.626,1
01/01/2018 04:30:00,7.118,2.973,323.25,-0.8684,1.612,94.4,0.1,6.836,84.0467,0.992,482.626,1
01/01/2018 05:00:00,6.309,0,333.817,1.6032,1.553,94.467,0.2,6.852,83.7433,3.45533,482.626,1
01/01/2018 05:30:00,5.161,0,302.977,0.8016,0.394,94.467,0,6.867,95.5333,0.984333,481.771,1
01/01/2018 06:00:00,5.931,0.433,298.27,-2.1376,1.701,94.5,0,6.883,81.7267,0.942667,482.627,1
01/01/2018 06:30:00,6.187,2.05,301.203,1.0688,2.648,94.5,0.1,6.899,72.0567,1.10167,482.626,1
01/01/2018 07:00:00,5.948,0.607,326.28,-0.5344,2.397,94.5,0.8,6.914,74.2833,2.15367,482.627,1
01/01/2018 07:30:00,4.281,0.29,278.82,-1.2692,1.388,94.6,0.1,6.93,83.2667,1.40933,481.574,1
01/01/2018 08:00:00,3.912,0,276.86,-0.5344,0.749,94.6,0,6.895,90.7333,0.952333,481.379,1
01/01/2018 08:30:00,4.53,0.897,318.053,0.1336,1.544,94.667,0,6.861,81.72,0.955667,482.113,0
01/01/2018 09:00:00,4.997,2.943,321.423,7.4816,2.323,94.7,0,6.826,73.3733,1.675,482.093,0
01/01/2018 09:30:00,5.076,6.693,324.12,14.6292,2.412,94.733,0,6.792,72.5067,5.64667,482.177,0
01/01/2018 10:00:00,5.084,28.107,323.74,55.3772,2.401,94.8,0,6.757,72.6433,27.71,481.2,0
01/01/2018 10:30:00,4.943,70.85,313.16,136.138,2.312,94.8,0,6.723,73.3967,67.61,479.791,0
01/01/2018 11:00:00,4.788,53.333,320.513,106.212,2.002,94.8,0.2,6.642,76.7133,49.5,480.467,0
01/01/2018 11:30:00,3.766,68.57,303.75,136.873,0.723,94.8,0.3,6.562,90.9667,57.1733,479.124,0
01/01/2018 12:00:00,4.05,96.597,304.21,184.034,0.939,94.8,0.1,6.482,88.5,70.8933,478.927,0
